                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1355,                 3.7304,                 3.8954,                0.53182,                0.05804,                0.01268,                 0.0034,                 2.9565,                 4.8547,                 3.5188,             0.00055341,             0.00055341,             0.00055341
                      2,                 2.4732,                  3.359,                 2.9809,                0.52729,                0.08408,                0.01493,                0.00383,                 2.6172,                 4.0776,                 3.0608,              0.0010871,              0.0010871,              0.0010871
                      3,                 2.1284,                 2.9819,                 2.5848,                 0.5785,                0.11235,                0.04127,                0.01208,                 2.4305,                 3.5135,                 2.8504,              0.0015988,              0.0015988,              0.0015988
                      4,                 1.9748,                 2.7857,                 2.4144,                0.61493,                0.11756,                0.06228,                0.01788,                 2.4321,                 3.1802,                 2.8861,               0.001568,               0.001568,               0.001568
                      5,                 1.8991,                 2.6374,                 2.3247,                0.15503,                0.10417,                0.07932,                0.02633,                 2.3511,                 3.1238,                 2.8001,               0.001568,               0.001568,               0.001568
                      6,                 1.8334,                 2.5449,                 2.2582,                 0.2319,                0.19107,                0.10939,                0.03931,                 2.2146,                 2.9141,                  2.716,               0.001535,               0.001535,               0.001535
                      7,                 1.8072,                 2.5059,                 2.2317,                0.22664,                 0.1071,                0.09366,                0.03249,                 2.2644,                 3.0703,                 2.7391,               0.001502,               0.001502,               0.001502
                      8,                 1.7471,                 2.4019,                  2.169,                 0.2824,                0.17304,                0.13746,                 0.0521,                  2.153,                 2.8336,                 2.5335,               0.001469,               0.001469,               0.001469
                      9,                 1.7277,                 2.3582,                 2.1404,                0.28053,                0.14405,                0.10443,                0.03994,                 2.2093,                 2.9188,                 2.7323,               0.001436,               0.001436,               0.001436
                     10,                 1.6894,                 2.2862,                 2.1146,                0.31538,                0.21635,                0.19125,                0.08276,                 2.0629,                  2.578,                 2.4284,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.6563,                 2.2412,                 2.0862,                 0.2984,                0.22834,                0.21143,                0.08947,                 1.9739,                 2.4803,                 2.3419,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.6134,                 2.1937,                 2.0562,                0.37291,                0.26611,                0.24054,                0.10873,                 1.9389,                 2.3708,                  2.304,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.5976,                 2.1336,                 2.0368,                0.32182,                 0.2811,                 0.2416,                0.11049,                   1.93,                 2.3824,                   2.25,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.5793,                 2.0904,                 2.0141,                0.34818,                0.26382,                0.25451,                0.11587,                 1.8982,                 2.3285,                 2.2403,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.5458,                 2.0638,                  1.994,                0.32144,                0.27179,                 0.2556,                0.11659,                 1.8926,                 2.3721,                 2.2363,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.5342,                 2.0435,                 1.9643,                0.35594,                0.29198,                0.27461,                0.13744,                  1.815,                 2.2617,                 2.1972,              0.0012049,              0.0012049,              0.0012049
                     17,                  1.517,                 2.0022,                 1.9653,                0.44637,                  0.264,                0.26368,                0.11861,                 1.8955,                 2.3194,                 2.3129,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.5017,                  1.988,                 1.9425,                0.44522,                0.30123,                0.29878,                0.14289,                 1.8119,                 2.1898,                 2.1926,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.5021,                 1.9404,                 1.9264,                0.38702,                0.31287,                0.29638,                0.14666,                 1.7535,                  2.182,                 2.1074,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.4734,                 1.9427,                 1.9169,                0.41554,                0.28529,                0.25095,                0.12118,                 1.8785,                 2.3395,                 2.2654,              0.0010729,              0.0010729,              0.0010729
